source,target,value
fbcdn.net,facebook.com,1
blogtalkradio.com,fbcdn.net,1
fbcdn.net,facebook.com,1
glosbe.com,fbcdn.net,1
fbcdn.net,facebook.com,1
dailycaller.com,fbcdn.net,1
fbcdn.net,facebook.com,1
corel.com,fbcdn.net,1
fbcdn.net,facebook.com,1
liveleak.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lazada.vn,fbcdn.net,1
fbcdn.net,facebook.com,1
huffingtonpost.ca,fbcdn.net,1
fbcdn.net,facebook.com,1
weddingwire.com,fbcdn.net,1
fbcdn.net,facebook.com,1
flippingbook.com,fbcdn.net,1
fbcdn.net,facebook.com,1
vocabulary.com,fbcdn.net,1
fbcdn.net,facebook.com,1
bab.la,fbcdn.net,1
fbcdn.net,facebook.com,1
giantbomb.com,fbcdn.net,1
fbcdn.net,facebook.com,1
art.com,fbcdn.net,1
fbcdn.net,facebook.com,1
worldstarhiphop.com,fbcdn.net,1
fbcdn.net,facebook.com,1
themuse.com,fbcdn.net,1
fbcdn.net,facebook.com,1
elcomercio.pe,fbcdn.net,1
fbcdn.net,facebook.com,1
orbitz.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cults3d.com,fbcdn.net,1
fbcdn.net,facebook.com,1
newstatesman.com,fbcdn.net,1
fbcdn.net,facebook.com,1
books.com.tw,fbcdn.net,1
fbcdn.net,facebook.com,1
geocaching.com,fbcdn.net,1
fbcdn.net,facebook.com,1
99designs.com,fbcdn.net,1
fbcdn.net,facebook.com,1
band.us,fbcdn.net,1
fbcdn.net,facebook.com,1
ibtimes.co.uk,fbcdn.net,1
fbcdn.net,facebook.com,1
animenewsnetwork.com,fbcdn.net,1
fbcdn.net,facebook.com,1
musescore.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ucoz.com,fbcdn.net,1
fbcdn.net,facebook.com,1
zoho.eu,fbcdn.net,1
fbcdn.net,facebook.com,1
sltrib.com,fbcdn.net,1
fbcdn.net,facebook.com,1
gumtree.com,fbcdn.net,1
fbcdn.net,facebook.com,1
geogebra.org,fbcdn.net,1
fbcdn.net,facebook.com,1
khaleejtimes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
printful.com,fbcdn.net,1
fbcdn.net,facebook.com,1
food.com,fbcdn.net,1
fbcdn.net,facebook.com,1
southernliving.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lightinthebox.com,fbcdn.net,1
fbcdn.net,facebook.com,1
bigolive.tv,fbcdn.net,1
fbcdn.net,facebook.com,1
phonearena.com,fbcdn.net,1
fbcdn.net,facebook.com,1
docdroid.net,fbcdn.net,1
fbcdn.net,facebook.com,1
veeam.com,fbcdn.net,1
fbcdn.net,facebook.com,1
creativefabrica.com,fbcdn.net,1
fbcdn.net,facebook.com,1
gleam.io,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.com.br,fbcdn.net,1
fbcdn.net,facebook.com,1
broadwayworld.com,fbcdn.net,1
fbcdn.net,facebook.com,1
radiotimes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
thenounproject.com,fbcdn.net,1
fbcdn.net,facebook.com,1
filmweb.pl,fbcdn.net,1
fbcdn.net,facebook.com,1
heylink.me,fbcdn.net,1
fbcdn.net,facebook.com,1
audiomack.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cmoa.jp,fbcdn.net,1
fbcdn.net,facebook.com,1
thetrainline.com,fbcdn.net,1
fbcdn.net,facebook.com,1
artsy.net,fbcdn.net,1
